Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_City,Customer_Type,Product_Name,Quantity_Ordered,Quantity_Shipped,Unit_Price,Order_Value,Fulfillment_Status,Days_to_Fulfill
ORD-100032,2024-01-04,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Strawberries,143,0,4.07,581.49,Pending,
ORD-100033,2024-01-04,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Strawberries,440,254,4.09,1799.88,Partial,1.0
ORD-100034,2024-01-04,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Peppers,291,291,3.09,898.92,Fulfilled,4.0
ORD-100035,2024-01-04,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Lettuce,125,125,1.51,188.72,Fulfilled,1.0
ORD-100036,2024-01-04,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Peppers,188,188,3.05,572.52,Fulfilled,4.0
ORD-100037,2024-01-04,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Peppers,393,235,3.16,1240.88,Partial,4.0
ORD-100038,2024-01-05,CUST-005,East Coast Produce,"New York, NY",Wholesale,Strawberries,55,55,3.85,211.92,Fulfilled,2.0
ORD-100039,2024-01-05,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Mixed Produce,183,183,2.83,518.14,Fulfilled,3.0
ORD-100040,2024-01-05,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Cucumbers,59,59,1.74,102.52,Fulfilled,1.0
ORD-100041,2024-01-05,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Cucumbers,265,265,1.82,481.76,Fulfilled,2.0
ORD-100042,2024-01-05,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Mixed Produce,434,434,2.79,1211.63,Fulfilled,3.0
ORD-100043,2024-01-06,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Mixed Produce,350,350,2.74,959.33,Fulfilled,1.0
ORD-100044,2024-01-06,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Lettuce,430,430,1.49,641.54,Fulfilled,3.0
ORD-100045,2024-01-06,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Mixed Produce,388,388,2.77,1073.95,Fulfilled,3.0
ORD-100046,2024-01-06,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Mixed Produce,41,41,2.87,117.8,Fulfilled,3.0
ORD-100047,2024-01-06,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Cucumbers,27,27,1.74,47.07,Fulfilled,3.0
ORD-100048,2024-01-06,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Lettuce,220,220,1.45,317.97,Fulfilled,4.0
ORD-100049,2024-01-06,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Cucumbers,242,0,1.83,443.75,Pending,
ORD-100050,2024-01-06,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Peppers,295,295,3.24,954.94,Fulfilled,2.0
ORD-100051,2024-01-06,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Tomatoes,96,96,2.38,228.81,Fulfilled,3.0
ORD-100052,2024-01-06,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Lettuce,76,76,1.54,117.41,Fulfilled,3.0
ORD-100053,2024-01-07,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Cucumbers,477,400,1.74,828.11,Partial,3.0
ORD-100054,2024-01-07,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Tomatoes,249,133,2.52,627.55,Partial,4.0
ORD-100055,2024-01-07,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Tomatoes,467,467,2.41,1124.44,Fulfilled,1.0
ORD-100056,2024-01-07,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Lettuce,103,103,1.44,148.48,Fulfilled,1.0
ORD-100057,2024-01-07,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Peppers,321,321,3.16,1013.71,Fulfilled,1.0
ORD-100058,2024-01-08,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Cucumbers,181,0,1.86,336.45,Cancelled,
ORD-100059,2024-01-08,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Peppers,171,113,3.16,540.1,Partial,3.0
ORD-100060,2024-01-08,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Strawberries,393,295,3.81,1498.29,Partial,2.0
ORD-100061,2024-01-08,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Cucumbers,443,443,1.83,812.39,Fulfilled,1.0
ORD-100062,2024-01-08,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Tomatoes,294,120,2.4,706.75,Partial,1.0
ORD-100063,2024-01-09,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Tomatoes,256,215,2.4,614.63,Partial,2.0
ORD-100064,2024-01-09,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Peppers,98,98,3.11,305.19,Fulfilled,2.0
ORD-100065,2024-01-09,CUST-003,Midwest Foods Co.,"Chicago, IL",Distributor,Mixed Produce,464,0,2.84,1316.81,Cancelled,
ORD-100066,2024-01-09,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Lettuce,279,279,1.52,425.28,Fulfilled,1.0
ORD-100067,2024-01-09,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Cucumbers,305,305,1.75,532.79,Fulfilled,2.0
ORD-100068,2024-01-09,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Lettuce,241,241,1.55,374.65,Fulfilled,1.0
ORD-100069,2024-01-09,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Strawberries,209,100,3.84,801.77,Partial,3.0
ORD-100070,2024-01-10,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Cucumbers,405,405,1.76,714.41,Fulfilled,1.0
ORD-100071,2024-01-10,CUST-003,Midwest Foods Co.,"Chicago, IL",Distributor,Peppers,47,47,3.15,147.91,Fulfilled,3.0
ORD-100072,2024-01-10,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Strawberries,497,497,4.06,2017.54,Fulfilled,2.0
ORD-100073,2024-01-10,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Lettuce,167,167,1.5,250.63,Fulfilled,4.0
ORD-100074,2024-01-10,CUST-005,East Coast Produce,"New York, NY",Wholesale,Lettuce,244,244,1.51,367.71,Fulfilled,3.0
ORD-100075,2024-01-10,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Peppers,471,471,3.22,1514.91,Fulfilled,4.0
ORD-100076,2024-01-10,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Lettuce,159,0,1.49,236.16,Cancelled,
ORD-100077,2024-01-10,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Peppers,260,260,3.02,784.29,Fulfilled,4.0
ORD-100078,2024-01-10,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Cucumbers,207,171,1.87,387.14,Partial,3.0
ORD-100079,2024-01-10,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Cucumbers,90,90,1.74,157.05,Fulfilled,4.0
ORD-100080,2024-01-11,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Strawberries,287,287,4.08,1169.83,Fulfilled,1.0
ORD-100081,2024-01-11,CUST-003,Midwest Foods Co.,"Chicago, IL",Distributor,Strawberries,247,247,3.92,967.93,Fulfilled,4.0
ORD-100082,2024-01-11,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Lettuce,351,351,1.54,541.96,Fulfilled,4.0
ORD-100083,2024-01-11,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Strawberries,341,341,4.2,1431.9,Fulfilled,2.0
ORD-100084,2024-01-11,CUST-005,East Coast Produce,"New York, NY",Wholesale,Tomatoes,323,323,2.51,811.8,Fulfilled,3.0
ORD-100085,2024-01-11,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Peppers,31,0,3.24,100.31,Cancelled,
ORD-100086,2024-01-11,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Peppers,230,230,3.02,694.9,Fulfilled,3.0
ORD-100087,2024-01-11,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Lettuce,312,312,1.56,486.14,Fulfilled,1.0
ORD-100088,2024-01-11,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Lettuce,421,421,1.54,649.97,Fulfilled,3.0
ORD-100089,2024-01-12,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Lettuce,189,189,1.46,275.71,Fulfilled,2.0
ORD-100090,2024-01-12,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Cucumbers,110,110,1.8,198.53,Fulfilled,2.0
ORD-100091,2024-01-12,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Lettuce,431,431,1.45,625.99,Fulfilled,4.0
ORD-100092,2024-01-12,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Tomatoes,113,113,2.55,287.68,Fulfilled,1.0
ORD-100093,2024-01-12,CUST-003,Midwest Foods Co.,"Chicago, IL",Distributor,Lettuce,286,286,1.54,440.26,Fulfilled,3.0
ORD-100094,2024-01-12,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Strawberries,292,292,4.12,1201.7,Fulfilled,4.0
ORD-100095,2024-01-13,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Lettuce,122,122,1.44,175.71,Fulfilled,1.0
ORD-100096,2024-01-13,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Strawberries,329,329,3.89,1281.0,Fulfilled,4.0
ORD-100097,2024-01-13,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Mixed Produce,382,382,2.71,1034.47,Fulfilled,4.0
ORD-100098,2024-01-13,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Cucumbers,38,38,1.88,71.4,Fulfilled,4.0
ORD-100099,2024-01-13,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Mixed Produce,364,364,2.86,1041.17,Fulfilled,1.0
ORD-100100,2024-01-13,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Lettuce,228,228,1.53,348.43,Fulfilled,3.0
ORD-100101,2024-01-13,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Tomatoes,306,306,2.43,742.62,Fulfilled,2.0
ORD-100102,2024-01-13,CUST-003,Midwest Foods Co.,"Chicago, IL",Distributor,Tomatoes,287,287,2.52,724.28,Fulfilled,3.0
ORD-100103,2024-01-14,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Cucumbers,46,46,1.8,82.66,Fulfilled,4.0
ORD-100104,2024-01-14,CUST-003,Midwest Foods Co.,"Chicago, IL",Distributor,Mixed Produce,274,274,2.84,778.89,Fulfilled,2.0
ORD-100105,2024-01-14,CUST-005,East Coast Produce,"New York, NY",Wholesale,Strawberries,242,242,4.1,993.18,Fulfilled,4.0
ORD-100106,2024-01-14,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Strawberries,423,423,3.84,1625.56,Fulfilled,4.0
ORD-100107,2024-01-14,CUST-005,East Coast Produce,"New York, NY",Wholesale,Mixed Produce,288,288,2.81,810.12,Fulfilled,2.0
ORD-100108,2024-01-14,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Lettuce,43,43,1.5,64.46,Fulfilled,1.0
ORD-100109,2024-01-14,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Peppers,44,33,3.2,140.91,Partial,4.0
ORD-100110,2024-01-14,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Lettuce,465,465,1.52,705.04,Fulfilled,1.0
ORD-100111,2024-01-14,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Tomatoes,73,73,2.39,174.53,Fulfilled,3.0
ORD-100112,2024-01-14,CUST-005,East Coast Produce,"New York, NY",Wholesale,Lettuce,416,0,1.47,611.91,Pending,
ORD-100113,2024-01-15,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Cucumbers,365,365,1.82,664.4,Fulfilled,1.0
ORD-100114,2024-01-15,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Tomatoes,480,480,2.52,1207.3,Fulfilled,1.0
ORD-100115,2024-01-15,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Lettuce,340,340,1.51,514.15,Fulfilled,2.0
ORD-100116,2024-01-15,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Mixed Produce,24,24,2.81,67.49,Fulfilled,1.0
ORD-100117,2024-01-15,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Mixed Produce,234,234,2.81,657.28,Fulfilled,3.0
ORD-100118,2024-01-15,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Cucumbers,263,263,1.73,455.25,Fulfilled,1.0
ORD-100119,2024-01-15,CUST-003,Midwest Foods Co.,"Chicago, IL",Distributor,Tomatoes,439,290,2.47,1082.79,Partial,3.0
ORD-100120,2024-01-15,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Mixed Produce,405,405,2.81,1137.66,Fulfilled,2.0
ORD-100121,2024-01-16,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Tomatoes,484,484,2.47,1197.78,Fulfilled,1.0
ORD-100122,2024-01-16,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Mixed Produce,92,92,2.89,266.22,Fulfilled,1.0
ORD-100123,2024-01-16,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Tomatoes,341,341,2.51,856.47,Fulfilled,4.0
ORD-100124,2024-01-16,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Tomatoes,360,360,2.43,875.94,Fulfilled,1.0
ORD-100125,2024-01-16,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Tomatoes,378,378,2.51,947.85,Fulfilled,3.0
ORD-100126,2024-01-16,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Cucumbers,445,445,1.75,776.95,Fulfilled,3.0
ORD-100127,2024-01-16,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Cucumbers,460,245,1.84,846.08,Partial,2.0
ORD-100128,2024-01-16,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Peppers,308,308,3.14,966.63,Fulfilled,4.0
ORD-100129,2024-01-17,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Tomatoes,392,192,2.55,1000.95,Partial,4.0
ORD-100130,2024-01-17,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Tomatoes,430,430,2.46,1056.99,Fulfilled,3.0
ORD-100131,2024-01-17,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Peppers,78,78,3.15,245.49,Fulfilled,1.0
ORD-100132,2024-01-17,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Peppers,39,39,2.97,116.01,Fulfilled,1.0
ORD-100133,2024-01-17,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Tomatoes,56,56,2.39,133.91,Fulfilled,1.0
ORD-100134,2024-01-17,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Mixed Produce,40,40,2.83,113.26,Fulfilled,3.0
ORD-100135,2024-01-17,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Tomatoes,68,0,2.57,174.78,Pending,
ORD-100136,2024-01-17,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Mixed Produce,332,0,2.7,895.7,Cancelled,
ORD-100137,2024-01-17,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Lettuce,140,140,1.47,206.13,Fulfilled,2.0
ORD-100138,2024-01-18,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Peppers,52,52,3.09,160.79,Fulfilled,1.0
ORD-100139,2024-01-18,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Tomatoes,407,407,2.45,996.92,Fulfilled,3.0
ORD-100140,2024-01-18,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Peppers,54,54,3.03,163.37,Fulfilled,2.0
ORD-100141,2024-01-18,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Cucumbers,306,306,1.87,571.13,Fulfilled,1.0
ORD-100142,2024-01-18,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Lettuce,375,282,1.51,565.8,Partial,1.0
ORD-100143,2024-01-18,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Tomatoes,500,500,2.56,1280.91,Fulfilled,3.0
ORD-100144,2024-01-18,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Lettuce,424,0,1.54,652.85,Cancelled,
ORD-100145,2024-01-18,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Cucumbers,339,339,1.76,596.82,Fulfilled,4.0
ORD-100146,2024-01-18,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Peppers,410,410,3.09,1265.02,Fulfilled,3.0
ORD-100147,2024-01-18,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Strawberries,155,155,3.87,600.28,Fulfilled,1.0
ORD-100148,2024-01-19,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Mixed Produce,386,285,2.9,1118.07,Partial,3.0
ORD-100149,2024-01-19,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Peppers,483,483,3.06,1479.62,Fulfilled,2.0
ORD-100150,2024-01-19,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Strawberries,116,116,3.83,444.7,Fulfilled,4.0
ORD-100151,2024-01-19,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Peppers,41,41,3.15,129.13,Fulfilled,2.0
ORD-100152,2024-01-19,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Peppers,343,343,3.06,1048.93,Fulfilled,2.0
ORD-100153,2024-01-19,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Lettuce,295,0,1.45,428.98,Pending,
ORD-100154,2024-01-19,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Peppers,157,157,3.19,500.54,Fulfilled,1.0
ORD-100155,2024-01-20,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Lettuce,278,278,1.49,413.36,Fulfilled,1.0
ORD-100156,2024-01-20,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Mixed Produce,190,190,2.69,510.71,Fulfilled,3.0
ORD-100157,2024-01-20,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Tomatoes,323,323,2.6,838.72,Fulfilled,1.0
ORD-100158,2024-01-20,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Mixed Produce,417,417,2.93,1221.92,Fulfilled,3.0
ORD-100159,2024-01-20,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Mixed Produce,445,445,2.87,1278.77,Fulfilled,4.0
ORD-100160,2024-01-20,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Mixed Produce,500,500,2.81,1403.72,Fulfilled,3.0
ORD-100161,2024-01-21,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Tomatoes,460,460,2.51,1154.64,Fulfilled,1.0
ORD-100162,2024-01-21,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Strawberries,243,243,3.86,938.92,Fulfilled,3.0
ORD-100163,2024-01-21,CUST-005,East Coast Produce,"New York, NY",Wholesale,Mixed Produce,353,0,2.8,988.1,Pending,
ORD-100164,2024-01-21,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Tomatoes,29,29,2.6,75.51,Fulfilled,2.0
ORD-100165,2024-01-21,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Tomatoes,428,0,2.6,1113.12,Cancelled,
ORD-100166,2024-01-22,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Tomatoes,430,430,2.58,1111.16,Fulfilled,3.0
ORD-100167,2024-01-22,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Peppers,430,430,3.03,1301.56,Fulfilled,4.0
ORD-100168,2024-01-22,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Peppers,123,123,3.16,388.32,Fulfilled,3.0
ORD-100169,2024-01-22,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Strawberries,245,194,3.99,977.95,Partial,1.0
ORD-100170,2024-01-22,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Lettuce,499,499,1.45,725.86,Fulfilled,1.0
ORD-100171,2024-01-22,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Strawberries,50,50,3.82,190.87,Fulfilled,2.0
ORD-100172,2024-01-23,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Lettuce,173,173,1.43,247.6,Fulfilled,1.0
ORD-100173,2024-01-23,CUST-005,East Coast Produce,"New York, NY",Wholesale,Peppers,469,469,3.19,1498.07,Fulfilled,2.0
ORD-100174,2024-01-23,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Peppers,452,452,3.05,1378.73,Fulfilled,3.0
ORD-100175,2024-01-23,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Cucumbers,205,154,1.75,359.68,Partial,3.0
ORD-100176,2024-01-23,CUST-005,East Coast Produce,"New York, NY",Wholesale,Tomatoes,248,248,2.5,619.77,Fulfilled,3.0
ORD-100177,2024-01-23,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Peppers,462,462,3.24,1495.17,Fulfilled,4.0
ORD-100178,2024-01-23,CUST-005,East Coast Produce,"New York, NY",Wholesale,Strawberries,199,199,3.82,759.56,Fulfilled,4.0
ORD-100179,2024-01-23,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Cucumbers,241,241,1.87,450.45,Fulfilled,4.0
ORD-100180,2024-01-23,CUST-005,East Coast Produce,"New York, NY",Wholesale,Peppers,358,358,3.06,1095.25,Fulfilled,2.0
ORD-100181,2024-01-23,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Tomatoes,320,0,2.47,791.8,Pending,
ORD-100182,2024-01-24,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Lettuce,255,255,1.47,374.02,Fulfilled,4.0
ORD-100183,2024-01-24,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Peppers,99,0,3.16,313.14,Pending,
ORD-100184,2024-01-24,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Strawberries,418,0,4.13,1727.94,Cancelled,
ORD-100185,2024-01-24,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Peppers,111,111,3.13,347.56,Fulfilled,2.0
ORD-100186,2024-01-24,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Strawberries,413,413,4.01,1657.41,Fulfilled,3.0
ORD-100187,2024-01-24,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Strawberries,46,0,4.15,190.76,Pending,
ORD-100188,2024-01-24,CUST-011,Southern Produce Hub,"Atlanta, GA",Wholesale,Cucumbers,310,310,1.84,570.9,Fulfilled,4.0
