Shipment_ID,Ship_Date,Scheduled_Delivery,Actual_Delivery,Carrier,Origin,Destination,Lane,Distance_Miles,Shipment_Mode,Product_Category,Weight_LBS,Cost_Per_Mile,Total_Freight_Cost,Tender_Accepted,Tender_Sequence,On_Time_Delivery,Damage_Claim,Transit_Days_Scheduled,Transit_Days_Actual
SHP-100053,2024-12-28,2024-12-31,2024-12-31,Northern Star Haulage,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1114,TL,Lettuce,36287,2.15,2399.12,0,2,1,0,3,3
SHP-100054,2024-06-15,2024-06-18,2024-06-18,Great Lakes Transport,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1105,Reefer,Lettuce,41371,3.04,3363.49,1,1,1,0,3,3
SHP-100055,2025-02-25,2025-02-27,2025-02-27,FreshHaul Inc.,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",891,LTL,Peppers,12158,2.9,2586.23,1,1,1,0,2,2
SHP-100056,2025-04-26,2025-04-27,2025-04-27,FreshHaul Inc.,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",48,TL,Lettuce,39874,3.56,170.72,1,1,1,0,1,1
SHP-100058,2024-07-16,2024-07-18,2024-07-18,Prairie Express,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",753,TL,Tomatoes,39888,2.9,2183.54,0,3,1,0,2,2
SHP-100059,2025-11-26,2025-11-28,2025-11-29,Northern Star Haulage,"Kingsville, ON","Ottawa, ON","Kingsville, ON → Ottawa, ON",753,Reefer,Tomatoes,30539,3.37,2536.02,1,1,0,0,2,3
SHP-100061,2025-09-02,2025-09-03,2025-09-03,Atlantic Carriers,"Leamington, ON","Toronto, ON","Leamington, ON → Toronto, ON",374,TL,Strawberries,35592,3.25,1217.08,0,2,1,0,1,1
SHP-100063,2025-03-22,2025-03-24,2025-03-27,TransNorth Logistics,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",514,Reefer,Strawberries,27961,3.45,1774.56,1,1,0,0,2,5
SHP-100064,2025-01-07,2025-01-09,2025-01-09,Summit Trucking,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",864,LTL,Mixed Produce,13352,2.03,1752.36,0,2,1,0,2,2
SHP-100065,2024-11-03,2024-11-05,2024-11-05,Northern Star Haulage,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",883,TL,Mixed Produce,39492,2.56,2261.58,1,1,1,0,2,2
SHP-100066,2024-05-10,2024-05-11,2024-05-11,FreshHaul Inc.,"Leamington, ON","Toronto, ON","Leamington, ON → Toronto, ON",347,Reefer,Mixed Produce,29735,3.67,1272.19,0,3,1,0,1,1
SHP-100067,2025-02-19,2025-02-21,2025-02-21,Northern Star Haulage,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",762,LTL,Tomatoes,14146,1.79,1367.48,1,1,1,0,2,2
SHP-100068,2025-09-13,2025-09-14,2025-09-14,CrossBorder Freight,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",309,Reefer,Lettuce,28436,3.67,1133.56,1,1,1,0,1,1
SHP-100069,2024-06-22,2024-06-23,2024-06-23,Prairie Express,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",487,LTL,Mixed Produce,5225,2.79,1358.2,1,1,1,0,1,1
SHP-100070,2024-08-28,2024-08-31,2024-08-31,FreshHaul Inc.,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1062,TL,Peppers,37996,3.36,3564.68,1,1,1,0,3,3
SHP-100071,2025-09-17,2025-09-18,2025-09-18,Maple Leaf Freight,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",298,LTL,Lettuce,12679,2.66,793.5,0,3,1,0,1,1
SHP-100072,2025-05-21,2025-05-22,2025-05-22,Summit Trucking,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",70,Reefer,Peppers,25190,3.72,260.55,1,1,1,0,1,1
SHP-100073,2024-04-19,2024-04-20,2024-04-20,Summit Trucking,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",60,TL,Peppers,31184,2.62,157.33,0,2,1,0,1,1
SHP-100074,2024-05-04,2024-05-05,2024-05-08,CrossBorder Freight,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",454,TL,Lettuce,36709,3.15,1428.33,1,1,0,0,1,4
SHP-100075,2025-03-29,2025-03-31,2025-03-31,GreenRoute Logistics,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",732,LTL,Mixed Produce,8863,2.99,2189.07,0,3,1,0,2,2
SHP-100076,2024-06-11,2024-06-12,2024-06-12,CrossBorder Freight,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",302,TL,Cucumbers,30154,3.33,1006.58,1,1,1,0,1,1
SHP-100077,2025-06-17,2025-06-19,2025-06-19,FreshHaul Inc.,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",881,TL,Lettuce,41367,4.17,3675.45,1,1,1,0,2,2
SHP-100078,2024-11-23,2024-11-25,2024-11-25,Northern Star Haulage,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",868,TL,Peppers,32806,3.02,2618.01,1,1,1,0,2,2
SHP-100080,2025-02-21,2025-02-23,2025-02-23,Atlantic Carriers,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",505,Reefer,Lettuce,35647,3.43,1730.54,1,1,1,0,2,2
SHP-100081,2025-08-21,2025-08-23,2025-08-23,TransNorth Logistics,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",765,Reefer,Strawberries,27368,4.1,3137.24,1,1,1,0,2,2
SHP-100082,2025-02-03,2025-02-04,2025-02-04,Summit Trucking,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",487,Reefer,Mixed Produce,29495,3.34,1628.76,1,1,1,0,1,1
SHP-100083,2025-05-14,2025-05-16,2025-05-16,FreshHaul Inc.,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",911,LTL,Lettuce,5853,2.88,2621.11,1,1,1,0,2,2
SHP-100084,2025-02-18,2025-02-20,2025-02-23,Great Lakes Transport,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",754,TL,Lettuce,41453,2.67,2009.85,0,3,0,1,2,5
SHP-100085,2025-08-29,2025-08-31,2025-08-31,TransNorth Logistics,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",851,TL,Mixed Produce,34777,2.59,2207.6,1,1,1,0,2,2
SHP-100086,2024-09-23,2024-09-24,2024-09-24,FreshHaul Inc.,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",285,TL,Cucumbers,32491,3.69,1051.63,1,1,1,0,1,1
SHP-100087,2025-03-07,2025-03-09,2025-03-09,Prairie Express,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",734,LTL,Tomatoes,9869,1.95,1428.89,1,1,1,0,2,2
SHP-100088,2024-12-24,2024-12-28,2024-12-28,FreshHaul Inc.,"Windsor, ON","Winnipeg, MB","Windsor, ON → Winnipeg, MB",1911,LTL,Tomatoes,9142,2.63,5029.43,1,1,1,0,4,4
SHP-100089,2024-09-10,2024-09-11,2024-09-11,TransNorth Logistics,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",395,Reefer,Peppers,38417,3.53,1393.04,1,1,1,0,1,1
SHP-100090,2024-08-11,2024-08-14,2024-08-14,Prairie Express,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1059,TL,Cucumbers,38311,2.65,2807.04,1,1,1,0,3,3
SHP-100091,2024-04-27,2024-04-29,2024-05-02,Great Lakes Transport,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",905,TL,Tomatoes,38308,2.1,1899.83,1,1,0,0,2,5
SHP-100092,2025-01-19,2025-01-26,2025-01-26,Summit Trucking,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3402,TL,Peppers,31931,2.41,8208.74,1,1,1,0,7,7
SHP-100093,2024-04-14,2024-04-16,2024-04-16,Prairie Express,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",730,TL,Mixed Produce,43407,2.4,1751.74,1,1,1,0,2,2
SHP-100094,2024-02-12,2024-02-14,2024-02-14,Atlantic Carriers,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",504,LTL,Lettuce,8343,3.08,1551.5,1,1,1,0,2,2
SHP-100095,2024-01-13,2024-01-15,2024-01-18,Summit Trucking,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",734,LTL,Lettuce,13130,2.44,1790.7,1,1,0,0,2,5
SHP-100096,2025-04-15,2025-04-16,2025-04-18,Great Lakes Transport,"Leamington, ON","Toronto, ON","Leamington, ON → Toronto, ON",351,LTL,Peppers,8506,2.13,747.2,1,1,0,0,1,3
SHP-100097,2025-07-05,2025-07-06,2025-07-06,CrossBorder Freight,"Leamington, ON","Toronto, ON","Leamington, ON → Toronto, ON",365,Reefer,Mixed Produce,29452,5,1823.9,1,1,1,0,1,1
SHP-100098,2024-03-29,2024-04-01,2024-04-01,Prairie Express,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1102,TL,Lettuce,44069,2.37,2609.52,1,1,1,0,3,3
SHP-100099,2025-01-23,2025-01-24,2025-01-24,Atlantic Carriers,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",360,TL,Lettuce,41922,2.89,1039.41,0,3,1,0,1,1
SHP-100100,2024-12-14,2024-12-17,2024-12-17,Prairie Express,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1111,Reefer,Strawberries,34540,3.22,3579.86,1,1,1,1,3,3
SHP-100102,2025-02-20,2025-02-21,2025-02-21,CrossBorder Freight,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",495,LTL,Peppers,14087,3.2,1581.61,1,1,1,0,1,1
SHP-100103,2024-01-18,2024-01-20,2024-01-20,Maple Leaf Freight,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",911,Reefer,Peppers,31833,3.22,2933.6,1,1,1,0,2,2
SHP-100104,2025-01-12,2025-01-14,2025-01-17,CrossBorder Freight,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",516,LTL,Strawberries,10536,2.81,1451.62,1,1,0,0,2,5
SHP-100105,2025-12-20,2025-12-22,2025-12-22,CrossBorder Freight,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",919,Reefer,Cucumbers,35636,3.55,3262.14,1,1,1,0,2,2
SHP-100106,2024-05-02,2024-05-05,2024-05-05,Northern Star Haulage,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1064,TL,Mixed Produce,42377,2.32,2468.25,1,1,1,0,3,3
SHP-100107,2025-08-26,2025-08-27,2025-08-27,Northern Star Haulage,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",387,TL,Cucumbers,39817,2.61,1009.28,0,3,1,0,1,1
SHP-100108,2024-07-02,2024-07-03,2024-07-03,Northern Star Haulage,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",436,TL,Cucumbers,37668,2.75,1197.66,1,1,1,0,1,1
SHP-100109,2024-05-09,2024-05-11,2024-05-11,CrossBorder Freight,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",840,Reefer,Tomatoes,32587,4.03,3389.06,1,1,1,0,2,2
SHP-100110,2024-07-07,2024-07-09,2024-07-09,Prairie Express,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",765,TL,Lettuce,32504,2.77,2121.76,1,1,1,0,2,2
SHP-100111,2025-08-13,2025-08-14,2025-08-15,TransNorth Logistics,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",453,Reefer,Peppers,41048,3.6,1631.38,1,1,0,0,1,2
SHP-100112,2024-05-01,2024-05-04,2024-05-04,Northern Star Haulage,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1068,LTL,Lettuce,11806,2.41,2579.05,1,1,1,0,3,3
SHP-100113,2025-06-19,2025-06-21,2025-06-21,CrossBorder Freight,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",911,Reefer,Strawberries,28440,4.75,4329.54,0,2,1,0,2,2
SHP-100114,2024-07-31,2024-08-04,2024-08-04,Prairie Express,"Windsor, ON","Winnipeg, MB","Windsor, ON → Winnipeg, MB",1914,TL,Tomatoes,43584,3.09,5910.9,1,1,1,0,4,4
SHP-100115,2024-01-03,2024-01-04,2024-01-04,Summit Trucking,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",299,Reefer,Mixed Produce,25698,3.44,1027.58,1,1,1,0,1,1
SHP-100116,2025-12-24,2025-12-31,2025-12-31,Prairie Express,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3410,Reefer,Lettuce,30486,2.91,9921.43,1,1,1,0,7,7
SHP-100117,2025-10-02,2025-10-06,2025-10-06,GreenRoute Logistics,"Windsor, ON","Winnipeg, MB","Windsor, ON → Winnipeg, MB",1895,TL,Peppers,37266,3.54,6702.73,1,1,1,0,4,4
SHP-100118,2024-09-29,2024-09-30,2024-09-30,Maple Leaf Freight,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",350,Reefer,Peppers,26167,4.34,1520.04,1,1,1,0,1,1
SHP-100119,2024-10-22,2024-10-24,2024-10-24,CrossBorder Freight,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",868,TL,Lettuce,35161,3.84,3336.68,1,1,1,0,2,2
SHP-100120,2025-05-27,2025-05-28,2025-05-28,Northern Star Haulage,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",291,LTL,Lettuce,5953,2.42,704.62,1,1,1,0,1,1
SHP-100121,2024-11-26,2024-11-28,2024-12-01,GreenRoute Logistics,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",896,TL,Tomatoes,31542,2.77,2480.27,1,1,0,0,2,5
SHP-100122,2024-01-22,2024-01-23,2024-01-23,Prairie Express,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",388,Reefer,Tomatoes,38807,2.84,1100.25,0,3,1,0,1,1
SHP-100123,2024-10-11,2024-10-12,2024-10-12,Great Lakes Transport,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",380,Reefer,Lettuce,32494,2.98,1134.1,1,1,1,0,1,1
SHP-100124,2024-12-22,2024-12-24,2024-12-24,Summit Trucking,"Kingsville, ON","Ottawa, ON","Kingsville, ON → Ottawa, ON",768,TL,Cucumbers,35977,2.69,2069.12,1,1,1,0,2,2
SHP-100125,2025-12-11,2025-12-13,2025-12-13,CrossBorder Freight,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",898,TL,Mixed Produce,41714,2.97,2668.27,0,3,1,0,2,2
SHP-100126,2024-03-31,2024-04-02,2024-04-02,Atlantic Carriers,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",899,TL,Cucumbers,43116,2.55,2294.61,1,1,1,0,2,2
SHP-100127,2024-01-02,2024-01-03,2024-01-03,Northern Star Haulage,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",318,Reefer,Lettuce,35188,2.98,948.01,1,1,1,0,1,1
SHP-100128,2025-05-25,2025-05-28,2025-05-28,CrossBorder Freight,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1054,Reefer,Tomatoes,30029,3.47,3661.61,1,1,1,0,3,3
SHP-100129,2025-03-24,2025-03-26,2025-03-26,CrossBorder Freight,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",835,Reefer,Tomatoes,37972,3.92,3273.95,0,2,1,0,2,2
SHP-100130,2024-11-14,2024-11-15,2024-11-15,Northern Star Haulage,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",340,Reefer,Strawberries,38843,3.6,1222.32,1,1,1,0,1,1
SHP-100131,2024-04-26,2024-04-28,2024-04-28,CrossBorder Freight,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",847,TL,Mixed Produce,33376,3.17,2685.34,1,1,1,0,2,2
SHP-100132,2025-06-05,2025-06-07,2025-06-07,Summit Trucking,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",732,Reefer,Lettuce,32114,4.54,3326.9,0,3,1,0,2,2
SHP-100133,2024-07-14,2024-07-21,2024-07-21,Northern Star Haulage,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3391,Reefer,Peppers,36023,3.66,12406.74,0,3,1,0,7,7
SHP-100134,2024-12-14,2024-12-16,2024-12-16,Northern Star Haulage,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",907,TL,Tomatoes,39337,2.84,2578.83,1,1,1,0,2,2
SHP-100135,2025-11-06,2025-11-08,2025-11-08,CrossBorder Freight,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",757,LTL,Peppers,8719,3.21,2429.8,1,1,1,0,2,2
